source_index,bout_key,fly_id,split,frames,seconds,path_mm,net_displacement_mm,mean_path_speed_mm_s,cycles_T1L,cycles_T1R,cycles_T2L,cycles_T2R,cycles_T3L,cycles_T3R
0,bout_0000,session1/2025_10_07_17_15_30,train,685,0.855,17.756847381591797,15.768345832824707,20.768242551569355,10,9,10,10,10,10
1,bout_0001,session1/2025_10_07_17_15_30,train,274,0.34125,4.709029674530029,4.412074565887451,13.799354357597155,3,3,2,3,2,4
2,bout_0002,session1/2025_10_07_17_15_30,train,282,0.35125,10.9386568069458,10.42910099029541,31.142083436144627,6,5,5,6,6,5
3,bout_0003,session1/2025_10_07_17_15_30,train,64,0.07875,3.3878142833709717,3.284522533416748,43.019863915821865,2,1,1,2,2,1
4,bout_0004,session1/2025_10_07_17_15_30,train,331,0.4125,7.023527145385742,6.556961536407471,17.026732473662406,4,4,4,4,4,5
5,bout_0005,session5/2025_10_11_10_29_50,validation,148,0.18375,6.260054588317871,6.122725486755371,34.068324290165286,2,2,2,2,2,2
6,bout_0006,session5/2025_10_11_10_29_50,validation,179,0.2225,4.32706356048584,4.212151527404785,19.44747667634085,2,2,2,2,2,2
7,bout_0007,session5/2025_10_11_10_29_50,validation,400,0.49875,15.541183471679688,15.252435684204102,31.16026761239035,6,6,6,6,6,6
8,bout_0008,session5/2025_10_11_10_29_50,validation,471,0.5875,15.948992729187012,15.150134086608887,27.147221666701295,7,6,6,7,7,6
9,bout_0009,session5/2025_10_11_10_29_50,validation,445,0.555,13.735719680786133,12.849708557128906,24.74904446988492,6,6,6,6,6,5
10,bout_0010,session5/2025_10_11_10_29_50,validation,261,0.325,9.16808032989502,8.958256721496582,28.20947793813852,4,3,3,4,4,4
11,bout_0011,session5/2025_10_11_10_29_50,validation,241,0.3,7.410205841064453,7.052135944366455,24.70068613688151,3,4,4,3,3,5
12,bout_0012,session5/2025_10_11_10_29_50,validation,253,0.315,6.991919994354248,6.771007061004639,22.196571410648406,3,3,3,3,3,3
13,bout_0013,session5/2025_10_11_10_29_50,validation,212,0.26375,5.187668323516846,4.764824390411377,19.668884638926432,3,2,2,3,3,2
14,bout_0014,session5/2025_10_11_10_29_50,validation,407,0.5075,13.564611434936523,13.071199417114258,26.728298393963595,6,6,6,5,5,6
15,bout_0015,session5/2025_10_11_10_29_50,validation,305,0.38,6.366893768310547,6.202298641204834,16.75498360081723,3,3,3,3,3,3
16,bout_0016,session5/2025_10_11_10_29_50,validation,182,0.22625,4.68629789352417,4.460057735443115,20.71291886640517,2,2,2,2,2,2
17,bout_0017,session5/2025_10_11_10_29_50,validation,142,0.17625,5.155956268310547,5.074147701263428,29.253652586159134,2,2,2,2,2,2
18,bout_0018,session5/2025_10_11_10_29_50,validation,223,0.2775,4.620279312133789,4.568742752075195,16.6496551788605,3,2,2,3,2,4
19,bout_0019,session5/2025_10_11_10_29_50,validation,187,0.2325,4.47564697265625,4.401751518249512,19.250094506048384,2,2,2,2,2,3
20,bout_0020,session5/2025_10_11_10_29_50,validation,342,0.42625,6.975969314575195,6.661559581756592,16.365910415425677,4,3,4,4,3,4
21,bout_0021,session5/2025_10_11_10_29_50,validation,168,0.20875,4.996133804321289,4.916097640991211,23.933575110521147,2,2,2,2,2,3
22,bout_0022,session5/2025_10_11_10_29_50,validation,395,0.4925,11.29541015625,10.445136070251465,22.93484295685279,5,6,5,5,5,5
23,bout_0023,session5/2025_10_11_10_29_50,validation,269,0.335,4.724628448486328,4.190300941467285,14.103368502944262,2,3,3,3,3,2
24,bout_0024,session5/2025_10_11_10_29_50,validation,265,0.33,5.249497890472412,5.1613922119140625,15.907569365067914,3,3,3,4,3,3
25,bout_0025,session5/2025_10_11_10_29_50,validation,373,0.465,5.348180770874023,5.171731472015381,11.501464023384996,3,5,2,3,2,4
26,bout_0026,session5/2025_10_11_10_29_50,validation,288,0.35875,9.517498970031738,9.397490501403809,26.529613853747005,4,4,4,4,5,4
27,bout_0027,session5/2025_10_11_10_29_50,validation,262,0.32625,7.331793308258057,7.225483417510986,22.472929680484466,4,3,3,4,4,3
28,bout_0028,session5/2025_10_11_10_29_50,validation,247,0.3075,4.969605922698975,4.877933979034424,16.161320073817805,2,3,3,3,2,3
29,bout_0029,session5/2025_10_11_10_29_50,validation,292,0.36375,7.8994646072387695,7.5145697593688965,21.716741188285276,4,3,3,4,4,4
30,bout_0030,session5/2025_10_11_10_29_50,validation,380,0.47375,11.553548812866211,10.977312088012695,24.38743812742208,5,5,5,5,5,5
31,bout_0031,session5/2025_10_11_10_29_50,validation,272,0.33875,7.261420726776123,7.069145202636719,21.435928344726562,3,4,4,4,3,4
32,bout_0032,session5/2025_10_11_10_29_50,validation,332,0.41375,11.378541946411133,11.187438011169434,27.501007725464973,5,4,4,5,5,5
33,bout_0033,session5/2025_10_11_10_29_50,validation,858,1.07125,22.92742156982422,20.705841064453125,21.402493880816074,11,12,12,11,11,12
34,bout_0034,session5/2025_10_11_10_29_50,validation,561,0.7,12.964991569519043,11.718064308166504,18.521416527884348,8,7,7,7,7,7
