bodyId,type,superclass,class,rootSide,entryNerve,mancType,status
802350,SNpp51,vnc_sensory,mechanosensory_proprioceptive,L,MetaLN,SNpp51,Traced
804010,SNpp50,vnc_sensory,mechanosensory_proprioceptive,L,MetaLN,SNpp50,Traced
804542,SNpp39,vnc_sensory,mechanosensory_proprioceptive,R,MesoLN,SNpp39,Traced
805712,SNpp51,vnc_sensory,mechanosensory_proprioceptive,R,MetaLN,SNpp51,Traced
806491,SNpp51,vnc_sensory,mechanosensory_proprioceptive,R,MetaLN,SNpp51,Traced
806859,SNpp51,vnc_sensory,mechanosensory_proprioceptive,R,MetaLN,SNpp51,Traced
807785,SNpp51,vnc_sensory,mechanosensory_proprioceptive,L,MesoLN,SNpp51,Traced
807900,SNpp39,vnc_sensory,mechanosensory_proprioceptive,R,MesoLN,SNpp39,Traced
807931,SNpp51,vnc_sensory,mechanosensory_proprioceptive,L,MesoLN,SNpp51,Traced
807970,SNpp41,vnc_sensory,mechanosensory_proprioceptive,L,MesoLN,SNpp41,Traced
808077,SNpp50,vnc_sensory,mechanosensory_proprioceptive,L,MesoLN,SNpp50,Traced
808491,SNpp50,vnc_sensory,mechanosensory_proprioceptive,L,MesoLN,SNpp50,Traced
808576,SNpp41,vnc_sensory,mechanosensory_proprioceptive,R,MesoLN,SNpp41,Traced
808592,SNpp50,vnc_sensory,mechanosensory_proprioceptive,R,MetaLN,SNpp50,Traced
808757,SNpp39,vnc_sensory,mechanosensory_proprioceptive,L,MesoLN,SNpp39,Traced
808818,SNpp50,vnc_sensory,mechanosensory_proprioceptive,L,MetaLN,SNpp50,Traced
808826,SNpp50,vnc_sensory,mechanosensory_proprioceptive,L,MesoLN,SNpp50,Traced
809027,SNpp41,vnc_sensory,mechanosensory_proprioceptive,R,MesoLN,SNpp41,Traced
809102,SNpp41,vnc_sensory,mechanosensory_proprioceptive,L,MesoLN,SNpp41,Traced
809230,SNpp50,vnc_sensory,mechanosensory_proprioceptive,L,MesoLN,SNpp50,Traced
809250,SNpp39,vnc_sensory,mechanosensory_proprioceptive,L,MesoLN,SNpp39,Traced
809278,SNpp39,vnc_sensory,mechanosensory_proprioceptive,R,MetaLN,SNpp39,Traced
809353,SNpp41,vnc_sensory,mechanosensory_proprioceptive,R,MesoLN,SNpp41,Traced
809398,SNpp39,vnc_sensory,mechanosensory_proprioceptive,L,MesoLN,SNpp39,Traced
809476,SNpp50,vnc_sensory,mechanosensory_proprioceptive,L,MesoLN,SNpp50,Traced
809595,SNpp50,vnc_sensory,mechanosensory_proprioceptive,R,MetaLN,SNpp50,Traced
809932,SNpp39,vnc_sensory,mechanosensory_proprioceptive,L,MetaLN,SNpp39,Traced
810041,SNpp39,vnc_sensory,mechanosensory_proprioceptive,R,MesoLN,SNpp39,Traced
810187,SNpp39,vnc_sensory,mechanosensory_proprioceptive,R,MetaLN,SNpp39,Traced
810445,SNpp39,vnc_sensory,mechanosensory_proprioceptive,R,MesoLN,SNpp39,Traced
810526,SNpp39,vnc_sensory,mechanosensory_proprioceptive,L,MetaLN,SNpp39,Traced
810643,SNpp50,vnc_sensory,mechanosensory_proprioceptive,R,MetaLN,SNpp50,Traced
810683,SNpp50,vnc_sensory,mechanosensory_proprioceptive,R,MetaLN,SNpp50,Traced
810800,SNpp51,vnc_sensory,mechanosensory_proprioceptive,R,MetaLN,SNpp51,Traced
811112,SNpp50,vnc_sensory,mechanosensory_proprioceptive,L,MesoLN,SNpp50,Traced
811124,SNpp50,vnc_sensory,mechanosensory_proprioceptive,L,MetaLN,SNpp50,Traced
811313,SNpp39,vnc_sensory,mechanosensory_proprioceptive,R,MesoLN,SNpp39,Traced
811348,SNpp50,vnc_sensory,mechanosensory_proprioceptive,L,MesoLN,SNpp50,Traced
811608,SNpp51,vnc_sensory,mechanosensory_proprioceptive,L,MesoLN,SNpp51,Traced
811919,SNpp50,vnc_sensory,mechanosensory_proprioceptive,R,MesoLN,SNpp50,Traced
812228,SNpp41,vnc_sensory,mechanosensory_proprioceptive,R,MetaLN,SNpp41,Traced
812422,SNpp39,vnc_sensory,mechanosensory_proprioceptive,L,MetaLN,SNpp39,Traced
812527,SNpp51,vnc_sensory,mechanosensory_proprioceptive,R,MetaLN,SNpp51,Traced
812610,SNpp50,vnc_sensory,mechanosensory_proprioceptive,L,MetaLN,SNpp50,Traced
812848,SNpp39,vnc_sensory,mechanosensory_proprioceptive,R,MetaLN,SNpp39,Traced
812869,SNpp50,vnc_sensory,mechanosensory_proprioceptive,R,MetaLN,SNpp50,Traced
812928,SNpp50,vnc_sensory,mechanosensory_proprioceptive,R,MetaLN,SNpp50,Traced
813011,SNpp50,vnc_sensory,mechanosensory_proprioceptive,R,MetaLN,SNpp50,Traced
813147,SNpp41,vnc_sensory,mechanosensory_proprioceptive,R,MetaLN,SNpp41,Traced
813286,SNpp50,vnc_sensory,mechanosensory_proprioceptive,R,MetaLN,SNpp50,Traced
813450,SNpp50,vnc_sensory,mechanosensory_proprioceptive,L,MetaLN,SNpp50,Traced
813516,SNpp50,vnc_sensory,mechanosensory_proprioceptive,R,MesoLN,SNpp50,Traced
813644,SNpp41,vnc_sensory,mechanosensory_proprioceptive,L,MetaLN,SNpp41,Traced
813911,SNpp39,vnc_sensory,mechanosensory_proprioceptive,L,MetaLN,SNpp39,Traced
814108,SNpp50,vnc_sensory,mechanosensory_proprioceptive,R,MesoLN,SNpp50,Traced
814484,SNpp50,vnc_sensory,mechanosensory_proprioceptive,L,MetaLN,SNpp50,Traced
814628,SNpp41,vnc_sensory,mechanosensory_proprioceptive,L,MetaLN,SNpp41,Traced
814742,SNpp51,vnc_sensory,mechanosensory_proprioceptive,R,MesoLN,SNpp51,Traced
814881,SNpp39,vnc_sensory,mechanosensory_proprioceptive,R,MetaLN,SNpp39,Traced
814905,SNpp39,vnc_sensory,mechanosensory_proprioceptive,L,MesoLN,SNpp39,Traced
814949,SNpp50,vnc_sensory,mechanosensory_proprioceptive,L,MesoLN,SNpp50,Traced
815569,SNpp39,vnc_sensory,mechanosensory_proprioceptive,L,ProLN,SNpp39,Traced
815843,SNpp51,vnc_sensory,mechanosensory_proprioceptive,L,ProLN,SNpp51,Traced
816304,SNpp51,vnc_sensory,mechanosensory_proprioceptive,R,MesoLN,SNpp51,Traced
816362,SNpp41,vnc_sensory,mechanosensory_proprioceptive,R,MesoLN,SNpp41,Traced
816388,SNpp39,vnc_sensory,mechanosensory_proprioceptive,L,MetaLN,SNpp39,Traced
816580,SNpp41,vnc_sensory,mechanosensory_proprioceptive,L,MetaLN,SNpp41,Traced
816782,SNpp39,vnc_sensory,mechanosensory_proprioceptive,R,ProLN,SNpp39,Traced
817150,SNpp50,vnc_sensory,mechanosensory_proprioceptive,L,MesoLN,SNpp50,Traced
817154,SNpp41,vnc_sensory,mechanosensory_proprioceptive,R,ProLN,SNpp41,Traced
817245,SNpp39,vnc_sensory,mechanosensory_proprioceptive,R,ProLN,SNpp39,Traced
817298,SNpp41,vnc_sensory,mechanosensory_proprioceptive,L,ProLN,SNpp41,Traced
817680,SNpp51,vnc_sensory,mechanosensory_proprioceptive,L,ProLN,SNpp51,Traced
817992,SNpp51,vnc_sensory,mechanosensory_proprioceptive,L,MesoLN,SNpp51,Traced
818478,SNpp50,vnc_sensory,mechanosensory_proprioceptive,R,MetaLN,SNpp50,Traced
818930,SNpp51,vnc_sensory,mechanosensory_proprioceptive,R,MetaLN,SNpp51,Traced
819219,SNpp50,vnc_sensory,mechanosensory_proprioceptive,L,MetaLN,SNpp50,Traced
